Sat1.A1ModJulian          Sat1.Earth.RadApo         Sat1.Earth.RadPer         Sat1.Earth.SMA            Sat1.Earth.SemilatusRectum   Sat1.Earth.Energy         Sat1.Earth.OrbitPeriod    Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.ElapsedSecs          
29125.10052153405         95671.99999998005         23918.00000000433         59794.99999999219         38268.80000000396            -3.333058295008379        145515.1750192264         -0.9355856200421794       -1.152356051873662        0                         -86022.92669436258        26056.28444374966         0                         51848.02516034106         
29125.13177153405         95671.99999998008         23918.00000000437         59794.99999999222         38268.80000000398            -3.333058295008378        145515.1750192265         -0.8093749175563855       -1.187803227721872        0                         -88378.06147769098        22895.66692575401         0                         54548.02516034106         
29125.16302153405         95671.99999998006         23918.00000000432         59794.99999999219         38268.80000000396            -3.333058295008379        145515.1750192264         -0.6854611726369758       -1.217308269790148        0                         -90395.61773995275        19647.49094976532         0                         57248.02516034106         
29125.19427153405         95671.99999998011         23918.00000000432         59794.99999999221         38268.80000000395            -3.333058295008378        145515.1750192264         -0.5634588341089517       -1.241373819108837        0                         -92081.27142037415        16327.09451875919         0                         59948.02516034106         
29125.22552153405         95671.99999998011         23918.00000000434         59794.99999999223         38268.80000000396            -3.333058295008377        145515.1750192265         -0.443004181610371        -1.260392009210838        0                         -93439.68782537055        12948.61216508076         0                         62648.02516034106         
29125.25677153405         95671.99999998012         23918.00000000434         59794.99999999224         38268.80000000398            -3.333058295008377        145515.1750192265         -0.3237513729819286       -1.27466159507692         0                         -94474.57524231027        9525.248997255969         0                         65348.02516034106         
29125.28802153405         95671.99999998011         23918.00000000434         59794.99999999223         38268.80000000396            -3.333058295008377        145515.1750192265         -0.2053685190413414       -1.284400375811204        0                         -95188.7278955467         6069.515119561345         0                         68048.02516034106         
29125.31927153405         95671.99999998011         23918.00000000431         59794.99999999221         38268.80000000396            -3.333058295008378        145515.1750192264         -0.08753384732856506      -1.289753900371292        0                         -95584.05841812615        2593.431709750814         0                         70748.02516034106         
29125.35052153405         95671.99999998012         23918.00000000433         59794.99999999222         38268.80000000396            -3.333058295008378        145515.1750192265         0.03006803872266514       -1.290801117328076        0                         -95661.62009713016        -891.2821648128154        0                         73448.02516034106         
29125.38177153405         95671.99999998012         23918.00000000434         59794.99999999224         38268.80000000398            -3.333058295008377        145515.1750192265         0.1477498287777539        -1.287557382341571        0                         -95421.61912325071        -4373.0343490203          0                         76148.02516034106         
29125.41302153405         95671.99999998015         23918.00000000435         59794.99999999225         38268.80000000398            -3.333058295008376        145515.1750192266         0.2658251415834051        -1.279975038424634        0                         -94863.41698835306        -7840.189217094225        0                         78848.02516034106         
